,x,y,div_category,left,top,width,height,padding,fontSize,margin,lineHeight,borderRadius,backgroundColor_R,backgroundColor_G,backgroundColor_B,color_R,color_G,color_B,position_absolute,display_flex,alignItems_center,boxSizing_border-box,fontWeight_bold,border_none,cursor_pointer,hits
0,30,140,1,30.0,140.0,350.0,100.0,16.0,3.4,0.0,1.0,16.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12
1,40,130,1,40.0,130.0,350.0,100.0,16.0,3.2,0.0,1.0,16.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2,40,130,1,40.0,130.0,350.0,100.0,16.0,3.5,0.0,1.0,16.0,-1.0,-1.0,-1.0,51.0,51.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12
3,40,140,1,40.0,140.0,350.0,100.0,16.0,3.5,0.0,1.0,16.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24
4,40,140,1,40.0,140.0,350.0,100.0,16.0,3.5,0.0,1.0,16.0,-1.0,-1.0,-1.0,34.0,34.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12
5,40,140,1,40.0,140.0,350.0,100.0,16.0,3.5,0.0,1.1,16.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12
6,40,140,1,40.0,140.0,350.0,100.0,16.0,3.8,0.0,1.0,16.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12
7,40,145,1,40.0,145.0,350.0,100.0,16.0,3.5,0.0,1.0,16.0,-1.0,-1.0,-1.0,17.0,17.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12
8,40,150,1,40.0,150.0,350.0,100.0,16.0,3.3,0.0,1.0,16.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12
9,40,160,1,40.0,160.0,350.0,100.0,16.0,3.5,0.0,1.0,16.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12
10,40,200,1,40.0,200.0,350.0,110.0,16.0,4.0,0.0,1.0,16.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12
11,45,145,1,45.0,145.0,350.0,100.0,16.0,3.7,0.0,1.0,16.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12
12,50,140,1,50.0,140.0,350.0,100.0,16.0,3.6,0.0,1.0,16.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12
13,60,140,1,60.0,140.0,360.0,100.0,16.0,3.5,0.0,1.0,16.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12
