x,y,div_category,left,top,width,height,padding,fontSize,margin,lineHeight,borderRadius,backgroundColor_R,backgroundColor_G,backgroundColor_B,color_R,color_G,color_B,position_absolute,display_flex,alignItems_center,boxSizing_border-box,fontWeight_bold,border_none,cursor_pointer,hits
14,0,0,14,0,55,17,16,24.3,-1,-1,16,44,216,16,31,205,40,1,1,1,1,0,1,1,1
152,530,4,152,530,103,65,24,18.8,-1,-1,0,79,110,172,87,82,177,1,1,1,1,1,0,1,5
30,290,3,30,290,57,30,16,26.1,-1,-1,4,98,35,23,255,255,255,1,1,1,1,0,1,1,11
103,286,2,103,286,286,65,24,16.9,-1,-1,16,136,36,87,255,255,255,1,1,1,1,1,0,1,38
21,272,2,21,272,128,74,24,25.3,-1,-1,4,205,137,33,0,0,0,1,1,1,1,1,1,1,74
21,281,3,21,281,37,17,24,21.5,-1,-1,0,219,204,185,0,0,0,1,1,1,1,0,0,1,11
49,63,1,49,63,448,99,24,19.4,-1,-1,8,239,128,5,0,0,0,1,1,1,1,0,1,1,34
0,277,3,0,277,101,78,16,24.7,-1,-1,8,54,152,101,255,255,255,1,1,1,1,1,0,1,65
0,9,0,0,9,257,75,16,10.6,-1,-1,4,40,43,248,255,255,255,1,1,1,1,1,0,1,40
3,155,2,3,155,410,99,24,27.0,-1,-1,16,102,159,204,0,0,0,1,1,1,1,0,0,1,31
98,130,1,98,130,22,28,24,22.2,-1,-1,0,3,36,30,255,255,255,1,1,1,1,0,1,1,8
42,243,3,42,243,167,118,16,17.4,-1,-1,0,242,208,97,255,213,111,1,1,1,1,0,1,1,4
18,246,2,18,246,155,76,16,21.5,-1,-1,16,71,216,93,0,0,0,1,1,1,1,0,0,1,83
62,485,4,62,485,147,75,24,20.8,-1,-1,8,109,205,30,0,0,0,1,1,1,1,1,1,1,35
15,288,3,15,288,384,107,16,18.2,-1,-1,0,29,31,160,63,52,184,1,1,1,1,0,0,1,11
0,55,0,0,55,445,75,24,27.2,-1,-1,8,126,20,41,255,255,255,1,1,1,1,0,1,1,56
39,97,1,39,97,167,83,16,27.0,-1,-1,0,37,4,234,255,255,255,1,1,1,1,0,1,1,66
72,91,1,72,91,135,76,16,16.2,-1,-1,8,154,4,153,255,255,255,1,1,1,1,0,0,1,50
130,391,4,130,391,244,71,16,16.9,-1,-1,16,135,250,128,0,0,0,1,1,1,1,1,0,1,31
0,5,0,0,5,166,78,16,20.2,-1,-1,16,218,4,57,197,33,21,1,1,1,1,0,0,1,12
69,250,2,69,250,120,90,16,17.5,-1,-1,4,52,181,208,0,0,0,1,1,1,1,0,1,1,81
0,0,0,0,0,270,97,16,26.1,-1,-1,16,127,136,81,255,255,255,1,1,1,1,0,0,1,96
0,271,3,0,271,216,73,24,8.6,-1,-1,8,168,142,35,0,0,0,1,1,1,1,0,0,1,22
21,303,2,21,303,235,49,24,9.3,-1,-1,0,160,223,59,0,0,0,1,1,1,1,1,0,1,21
137,399,4,137,399,375,70,24,15.0,-1,-1,16,169,160,63,0,0,0,1,1,1,1,1,1,1,27
52,216,2,52,216,198,98,24,19.3,-1,-1,4,89,154,207,0,0,0,1,1,1,1,1,1,1,75
12,324,3,12,324,445,72,24,25.1,-1,-1,0,86,43,145,255,255,255,1,1,1,1,0,1,1,71
81,177,1,81,177,175,48,24,11.0,-1,-1,16,37,233,212,0,0,0,1,1,1,1,1,0,1,22
6,127,1,6,127,102,58,16,17.1,-1,-1,16,237,25,127,255,255,255,1,1,1,1,1,1,1,67
136,509,4,136,509,358,99,24,21.7,-1,-1,16,81,243,230,0,0,0,1,1,1,1,0,1,1,53
20,292,3,20,292,56,17,16,18.5,-1,-1,0,41,70,77,255,255,255,1,1,1,1,1,1,1,9
0,168,2,0,168,312,52,24,19.9,-1,-1,4,10,194,244,15,192,253,1,1,1,1,1,0,1,6
72,321,2,72,321,114,94,16,23.5,-1,-1,16,207,84,239,0,0,0,1,1,1,1,0,0,1,39
37,340,3,37,340,79,15,24,9.1,-1,-1,16,108,232,167,0,0,0,1,1,1,1,1,0,1,5
54,274,3,54,274,89,11,16,18.9,-1,-1,4,35,20,15,255,255,255,1,1,1,1,0,0,1,5
54,361,3,54,361,388,72,24,17.6,-1,-1,0,188,85,58,255,255,255,1,1,1,1,0,1,1,47
118,532,4,118,532,292,95,16,16.8,-1,-1,0,124,52,154,255,255,255,1,1,1,1,1,1,1,49
0,289,2,0,289,63,10,16,25.5,-1,-1,16,54,221,185,0,0,0,1,1,1,1,0,1,1,7
124,458,4,124,458,375,106,24,25.6,-1,-1,4,137,165,125,0,0,0,1,1,1,1,1,1,1,83
43,120,2,43,120,61,15,24,19.0,-1,-1,0,132,174,143,0,0,0,1,1,1,1,0,0,1,4
31,154,1,31,154,350,116,24,23.7,-1,-1,16,251,229,8,239,240,0,1,1,1,1,1,1,1,7
193,449,4,193,449,332,79,16,17.2,-1,-1,4,98,161,61,0,0,0,1,1,1,1,0,1,1,25
7,209,2,7,209,368,81,16,25.7,-1,-1,8,151,116,184,0,0,0,1,1,1,1,0,0,1,61
165,483,4,165,483,164,107,16,8.0,-1,-1,8,145,240,245,0,0,0,1,1,1,1,1,0,1,18
0,15,0,0,15,137,118,24,14.8,-1,-1,4,76,155,43,255,255,255,1,1,1,1,1,1,1,84
43,338,3,43,338,401,99,16,22.7,-1,-1,4,50,106,108,255,255,255,1,1,1,1,0,0,1,66
0,0,0,0,0,404,105,16,17.2,-1,-1,16,144,232,36,0,0,0,1,1,1,1,0,0,1,100
